C-D
Profile
Horizontal Position[um]	Height[nm]
0.000	202.582
0.020	201.501
0.039	200.420
0.059	199.339
0.078	198.258
0.098	197.177
0.117	196.095
0.137	195.014
0.157	193.933
0.176	195.405
0.196	196.877
0.215	198.349
0.235	199.821
0.254	199.952
0.274	200.083
0.294	200.213
0.313	200.114
0.333	200.016
0.352	199.917
0.372	199.818
0.391	199.719
0.411	199.620
0.431	199.521
0.450	198.129
0.470	198.827
0.489	199.525
0.509	200.222
0.528	200.920
0.548	201.618
0.568	202.316
0.587	201.125
0.607	199.934
0.626	198.743
0.646	197.552
0.665	196.361
0.685	196.824
0.705	197.286
0.724	197.749
0.744	197.219
0.763	196.689
0.783	196.158
0.802	195.628
0.822	195.098
0.841	194.568
0.861	194.038
0.881	205.175
0.900	204.294
0.920	203.413
0.939	202.531
0.959	201.650
0.978	200.769
0.998	199.888
1.018	198.759
1.037	197.631
1.057	196.502
1.076	195.374
1.096	194.246
1.115	196.807
1.135	199.368
1.155	200.370
1.174	201.371
1.194	202.372
1.213	203.373
1.233	204.375
1.252	205.376
1.272	206.377
1.292	203.646
1.311	200.915
1.331	198.987
1.350	197.060
1.370	195.132
1.389	193.204
1.409	191.277
1.429	189.349
1.448	191.466
1.468	193.583
1.487	195.700
1.507	197.817
1.526	199.934
1.546	203.225
1.566	206.516
1.585	205.763
1.605	205.010
1.624	204.257
1.644	203.505
1.663	202.752
1.683	201.999
1.703	201.246
1.722	198.808
1.742	196.369
1.761	193.931
1.781	194.503
1.800	195.074
1.820	195.646
1.840	196.218
1.859	197.554
1.879	198.891
1.898	200.227
1.918	201.564
1.937	202.901
1.957	204.237
1.977	205.574
1.996	204.999
2.016	204.423
2.035	203.848
2.055	203.273
2.074	202.697
2.094	202.122
2.114	201.546
2.133	200.971
2.153	197.007
2.172	193.043
2.192	189.079
2.211	190.353
2.231	191.628
2.250	192.902
2.270	194.177
2.290	195.809
2.309	197.442
2.329	199.074
2.348	200.706
2.368	202.339
2.387	203.971
2.407	205.604
2.427	204.926
2.446	204.248
2.466	203.570
2.485	202.892
2.505	202.214
2.524	201.536
2.544	200.859
2.564	202.697
2.583	204.535
2.603	206.374
2.622	208.212
2.642	210.161
2.661	212.110
2.681	214.059
2.701	216.007
2.720	216.881
2.740	217.755
2.759	218.629
2.779	219.503
2.798	220.377
2.818	221.251
2.838	222.125
2.857	223.478
2.877	224.830
2.896	226.182
2.916	227.534
2.935	228.887
2.955	230.239
2.975	231.591
2.994	231.749
3.014	231.906
3.033	232.064
3.053	232.221
3.072	235.339
3.092	238.456
3.112	241.574
3.131	243.288
3.151	245.001
3.170	246.715
3.190	248.429
3.209	250.142
3.229	251.856
3.249	253.569
3.268	261.180
3.288	262.714
3.307	264.247
3.327	265.781
3.346	267.314
3.366	268.847
3.386	270.381
3.405	271.914
3.425	270.936
3.444	269.958
3.464	268.981
3.483	268.003
3.503	267.025
3.523	267.567
3.542	268.111
3.562	266.507
3.581	264.903
3.601	263.299
3.620	261.695
3.640	260.092
3.659	258.488
3.679	256.884
3.699	253.426
3.718	249.968
3.738	250.172
3.757	250.377
3.777	250.582
3.796	250.786
3.816	250.991
3.836	250.221
3.855	249.451
3.875	248.681
3.894	247.911
3.914	247.141
3.933	246.371
3.953	240.232
3.973	237.524
3.992	234.817
4.012	232.110
4.031	229.403
4.051	226.696
4.070	223.989
4.090	221.282
4.110	218.574
4.129	217.947
4.149	217.320
4.168	213.262
4.188	209.203
4.207	205.145
4.227	201.086
4.247	197.028
4.266	195.875
4.286	194.722
4.305	193.569
4.325	192.416
4.344	191.263
4.364	190.110
4.384	174.213
4.403	170.824
4.423	167.435
4.442	164.046
4.462	160.657
4.481	157.268
4.501	153.879
4.521	150.490
4.540	148.005
4.560	145.520
4.579	143.035
4.599	137.133
4.618	131.232
4.638	125.330
4.658	119.428
4.677	116.539
4.697	113.649
4.716	110.759
4.736	107.870
4.755	104.980
4.775	102.091
4.795	99.201
4.814	63.879
4.834	58.776
4.853	53.674
4.873	48.571
4.892	43.469
4.912	38.366
4.932	33.263
4.951	28.161
4.971	18.774
4.990	9.387
5.010	0.000
5.029	7.899
5.049	15.797
5.068	23.696
5.088	31.595
5.108	36.599
5.127	41.603
5.147	46.606
5.166	51.610
5.186	56.614
5.205	61.618
5.225	66.621
5.245	85.774
5.264	90.200
5.284	94.627
5.303	99.053
5.323	103.480
5.342	107.906
5.362	112.333
5.382	116.760
5.401	121.140
5.421	125.520
5.440	129.900
5.460	134.281
5.479	143.521
5.499	152.761
5.519	162.001
5.538	165.234
5.558	168.468
5.577	171.701
5.597	174.935
5.616	178.168
5.636	181.402
5.656	184.635
5.675	189.618
5.695	193.290
5.714	196.962
5.734	200.634
5.753	204.306
5.773	207.978
5.793	211.650
5.812	212.461
5.832	213.271
5.851	214.081
5.871	214.891
5.890	215.701
5.910	223.778
5.930	231.855
5.949	233.211
5.969	234.567
5.988	235.924
6.008	237.280
6.027	238.636
6.047	239.993
6.067	241.349
6.086	242.705
6.106	247.891
6.125	249.453
6.145	251.015
6.164	252.577
6.184	254.139
6.204	255.701
6.223	257.262
6.243	258.831
6.262	260.400
6.282	261.969
6.301	263.538
6.321	265.107
6.341	268.296
6.360	271.484
6.380	272.256
6.399	273.027
6.419	273.799
6.438	274.570
6.458	275.342
6.477	276.114
6.497	276.885
6.517	279.694
6.536	282.503
6.556	283.581
6.575	284.659
6.595	285.737
6.614	286.815
6.634	287.893
6.654	288.242
6.673	288.591
6.693	288.941
6.712	289.290
6.732	289.639
6.751	289.989
6.771	290.338
6.791	295.611
6.810	295.403
6.830	295.195
6.849	294.987
6.869	294.780
6.888	294.572
6.908	294.364
6.928	294.157
6.947	292.560
6.967	290.963
6.986	289.366
7.006	286.108
7.025	282.849
7.045	279.590
7.065	276.331
7.084	271.869
7.104	267.406
7.123	262.943
7.143	258.480
7.162	254.018
7.182	249.555
7.202	245.092
7.221	242.947
7.241	240.802
7.260	238.657
7.280	236.513
7.299	234.368
7.319	232.223
7.339	230.078
7.358	228.111
7.378	226.144
7.397	224.177
7.417	222.209
7.436	218.864
7.456	215.518
7.476	212.172
7.495	208.826
7.515	206.486
7.534	204.145
7.554	201.804
7.573	199.464
7.593	197.123
7.613	194.783
7.632	192.442
7.652	192.703
7.671	192.963
7.691	193.224
7.710	193.485
7.730	193.745
7.750	194.006
7.769	194.267
7.789	193.847
7.808	193.427
7.828	193.007
7.847	192.587
7.867	193.535
7.886	194.484
7.906	195.432
7.926	196.280
7.945	197.129
7.965	197.978
7.984	198.827
8.004	199.675
8.023	200.524
8.043	201.373
8.063	202.222
8.082	202.792
8.102	203.363
8.121	203.933
8.141	204.504
8.160	205.075
8.180	205.646
8.200	206.216
8.219	205.219
8.239	204.221
8.258	203.224
8.278	202.227
8.297	203.408
8.317	204.590
8.337	205.772
8.356	205.465
8.376	205.157
8.395	204.850
8.415	204.543
8.434	204.235
8.454	203.928
8.474	203.621
8.493	204.222
8.513	204.823
8.532	205.219
8.552	205.614
8.571	206.009
8.591	206.404
8.611	206.799
8.630	207.148
8.650	207.497
8.669	207.845
8.689	208.194
8.708	208.543
8.728	208.891
8.748	205.299
8.767	201.706
8.787	201.997
8.806	202.288
8.826	202.578
8.845	202.869
8.865	203.160
8.885	203.450
8.904	203.741
8.924	204.014
8.943	204.287
8.963	203.233
8.982	202.179
9.002	201.125
9.022	200.070
9.041	199.016
9.061	199.523
9.080	200.030
9.100	200.537
9.119	201.044
9.139	201.551
9.159	202.058
9.178	205.366
9.198	205.699
9.217	206.033
9.237	206.366
9.256	206.700
9.276	207.033
9.295	207.367
9.315	207.700
9.335	204.675
9.354	201.649
9.374	198.624
9.393	199.313
9.413	200.001
9.432	200.690
9.452	201.379
9.472	202.067
9.491	202.407
9.511	202.747
9.530	203.087
9.550	203.427
9.569	203.767
9.589	204.107
9.609	208.645
9.628	207.911
9.648	207.176
9.667	206.442
9.687	205.708
9.706	204.974
9.726	204.240
9.746	203.506
9.765	202.676
9.785	201.847
9.804	201.017
9.824	201.963
9.843	202.910
9.863	203.856
9.883	204.802
9.902	204.802
9.922	204.802
9.941	204.802
9.961	204.802
9.980	204.802
10.000	204.802
