A-B
Profile
Horizontal Position[um]	Height[nm]
0.000	198.335
0.020	198.551
0.039	198.767
0.059	198.983
0.078	199.199
0.098	199.415
0.117	199.631
0.137	199.847
0.157	200.063
0.176	202.962
0.196	205.861
0.215	208.760
0.235	206.255
0.254	203.751
0.274	201.247
0.294	198.742
0.313	198.815
0.333	198.889
0.352	198.962
0.372	199.035
0.391	199.108
0.411	199.182
0.431	199.255
0.450	200.103
0.470	200.951
0.489	201.799
0.509	202.647
0.528	203.496
0.548	204.344
0.568	205.192
0.587	206.040
0.607	205.276
0.626	204.512
0.646	203.748
0.665	202.619
0.685	201.490
0.705	200.361
0.724	199.233
0.744	199.446
0.763	199.660
0.783	199.874
0.802	200.088
0.822	200.302
0.841	200.516
0.861	200.729
0.881	200.878
0.900	201.027
0.920	201.175
0.939	201.324
0.959	201.473
0.978	201.621
0.998	201.770
1.018	201.918
1.037	199.594
1.057	197.268
1.076	194.944
1.096	197.124
1.115	199.305
1.135	201.486
1.155	203.667
1.174	203.224
1.194	202.781
1.213	202.338
1.233	201.895
1.252	201.452
1.272	201.009
1.292	200.566
1.311	200.099
1.331	199.632
1.350	199.166
1.370	198.699
1.389	198.232
1.409	197.765
1.429	197.299
1.448	196.832
1.468	198.015
1.487	199.198
1.507	200.382
1.526	202.010
1.546	203.638
1.566	205.266
1.585	206.895
1.605	205.940
1.624	204.986
1.644	204.031
1.663	203.077
1.683	202.122
1.703	201.168
1.722	200.213
1.742	199.137
1.761	198.060
1.781	196.984
1.800	195.907
1.820	194.831
1.840	193.754
1.859	192.678
1.879	191.601
1.898	193.864
1.918	196.127
1.937	198.390
1.957	199.780
1.977	201.170
1.996	202.560
2.016	203.950
2.035	204.205
2.055	204.459
2.074	204.714
2.094	204.969
2.114	205.224
2.133	205.478
2.153	199.264
2.172	198.823
2.192	198.382
2.211	197.942
2.231	197.501
2.250	197.060
2.270	196.620
2.290	196.179
2.309	195.739
2.329	197.705
2.348	199.672
2.368	200.789
2.387	201.906
2.407	203.023
2.427	204.141
2.446	205.258
2.466	203.119
2.485	200.980
2.505	198.841
2.524	196.702
2.544	194.563
2.564	192.424
2.583	186.263
2.603	188.334
2.622	190.404
2.642	192.475
2.661	194.546
2.681	196.616
2.701	198.687
2.720	200.758
2.740	202.517
2.759	204.276
2.779	206.035
2.798	205.626
2.818	205.218
2.838	204.809
2.857	204.400
2.877	203.991
2.896	205.605
2.916	207.218
2.935	208.831
2.955	210.444
2.975	212.057
2.994	213.670
3.014	220.922
3.033	221.460
3.053	221.999
3.072	222.538
3.092	223.076
3.112	223.615
3.131	224.154
3.151	224.692
3.170	226.717
3.190	228.743
3.209	230.768
3.229	233.686
3.249	236.604
3.268	239.523
3.288	242.441
