E-F
Profile
Horizontal Position[um]	Height[nm]
0.000	198.924
0.020	199.248
0.039	199.573
0.059	199.897
0.078	200.221
0.098	200.545
0.117	200.870
0.137	201.194
0.157	201.518
0.176	199.573
0.196	197.628
0.215	195.682
0.235	193.737
0.254	196.402
0.274	199.066
0.294	201.730
0.313	202.998
0.333	204.265
0.352	205.533
0.372	206.800
0.391	208.067
0.411	209.335
0.431	210.602
0.450	212.702
0.470	212.444
0.489	212.187
0.509	211.929
0.528	211.671
0.548	211.414
0.568	211.156
0.587	209.224
0.607	207.291
0.626	205.358
0.646	203.425
0.665	201.493
0.685	199.000
0.705	196.507
0.724	194.015
0.744	194.730
0.763	195.444
0.783	196.159
0.802	196.874
0.822	197.589
0.841	198.304
0.861	199.019
0.881	206.018
0.900	207.323
0.920	208.629
0.939	209.934
0.959	211.239
0.978	212.545
0.998	213.850
1.018	211.600
1.037	209.350
1.057	207.099
1.076	204.849
1.096	202.599
1.115	202.731
1.135	202.862
1.155	203.896
1.174	204.930
1.194	205.964
1.213	206.999
1.233	208.033
1.252	209.067
1.272	210.101
1.292	205.836
1.311	201.571
1.331	200.830
1.350	200.089
1.370	199.349
1.389	198.608
1.409	197.867
1.429	197.126
1.448	198.979
1.468	200.831
1.487	202.683
1.507	204.536
1.526	206.388
1.546	208.060
1.566	209.733
1.585	208.233
1.605	206.734
1.624	205.235
1.644	203.736
1.663	202.237
1.683	200.738
1.703	199.239
1.722	200.383
1.742	201.528
1.761	202.672
1.781	203.097
1.800	203.522
1.820	203.948
1.840	204.373
1.859	204.081
1.879	203.790
1.898	203.498
1.918	203.207
1.937	202.915
1.957	202.624
1.977	202.332
1.996	201.436
2.016	200.540
2.035	199.644
2.055	198.748
2.074	197.852
2.094	196.956
2.114	196.060
2.133	195.164
2.153	197.278
2.172	199.393
2.192	201.508
2.211	203.292
2.231	205.076
2.250	206.861
2.270	208.645
2.290	207.210
2.309	205.774
2.329	204.339
2.348	202.904
2.368	201.468
2.387	200.033
2.407	198.597
2.427	200.264
2.446	201.931
2.466	203.598
2.485	205.265
2.505	206.931
2.524	208.598
2.544	210.265
2.564	208.428
2.583	206.592
2.603	204.755
2.622	202.919
2.642	205.875
2.661	208.831
2.681	211.787
2.701	214.743
2.720	216.508
2.740	218.274
2.759	220.039
2.779	221.805
2.798	223.570
2.818	225.336
2.838	227.101
2.857	227.758
2.877	228.415
2.896	229.072
2.916	229.729
2.935	230.386
2.955	231.044
2.975	231.701
2.994	232.581
3.014	233.461
3.033	234.340
3.053	235.220
3.072	239.029
3.092	242.839
3.112	246.648
3.131	247.515
3.151	248.382
3.170	249.249
3.190	250.117
3.209	250.984
3.229	251.851
3.249	252.719
3.268	260.584
3.288	261.632
3.307	262.681
3.327	263.730
3.346	264.779
3.366	265.827
3.386	266.876
3.405	267.925
3.425	268.302
3.444	268.680
3.464	269.058
3.483	269.436
3.503	269.813
3.523	269.390
3.542	268.967
3.562	267.969
3.581	266.971
3.601	265.973
3.620	264.975
3.640	263.976
3.659	262.978
3.679	261.980
3.699	260.240
3.718	258.501
3.738	258.457
3.757	258.414
3.777	258.371
3.796	258.327
3.816	258.284
3.836	256.924
3.855	255.563
3.875	254.203
3.894	252.843
3.914	251.482
3.933	250.122
3.953	242.341
3.973	240.751
3.992	239.162
4.012	237.572
4.031	235.983
4.051	234.393
4.070	232.804
4.090	231.214
4.110	229.625
4.129	226.648
4.149	223.670
4.168	220.722
4.188	217.773
4.207	214.825
4.227	211.877
4.247	208.928
4.266	207.585
4.286	206.241
4.305	204.898
4.325	203.554
4.344	202.211
4.364	200.867
4.384	186.173
4.403	184.361
4.423	182.548
4.442	180.735
4.462	178.922
4.481	177.109
4.501	175.296
4.521	173.483
4.540	167.800
4.560	162.116
4.579	156.433
4.599	150.868
4.618	145.303
4.638	139.738
4.658	134.174
4.677	132.373
4.697	130.573
4.716	128.772
4.736	126.972
4.755	125.171
4.775	123.371
4.795	121.571
4.814	92.175
4.834	88.409
4.853	84.643
4.873	80.877
4.892	77.111
4.912	73.346
4.932	69.580
4.951	65.814
4.971	56.420
4.990	47.026
5.010	37.632
5.029	28.224
5.049	18.816
5.068	9.408
5.088	0.000
5.108	6.096
5.127	12.192
5.147	18.288
5.166	24.384
5.186	30.480
5.205	36.577
5.225	42.673
5.245	58.914
5.264	63.947
5.284	68.980
5.303	74.012
5.323	79.045
5.342	84.078
5.362	89.110
5.382	94.143
5.401	98.515
5.421	102.887
5.440	107.259
5.460	111.630
5.479	122.491
5.499	133.352
5.519	144.213
5.538	147.770
5.558	151.327
5.577	154.883
5.597	158.440
5.616	161.997
5.636	165.554
5.656	169.111
5.675	183.651
5.695	185.568
5.714	187.485
5.734	189.402
5.753	191.320
5.773	193.237
5.793	195.154
5.812	198.229
5.832	201.303
5.851	204.378
5.871	207.453
5.890	210.527
5.910	215.587
5.930	220.647
5.949	222.684
5.969	224.721
5.988	226.758
6.008	228.795
6.027	230.832
6.047	232.868
6.067	234.905
6.086	236.942
6.106	239.659
6.125	241.651
6.145	243.643
6.164	245.635
6.184	247.627
6.204	249.618
6.223	251.610
6.243	252.536
6.262	253.461
6.282	254.387
6.301	255.312
6.321	256.238
