G-H
Profile
Horizontal Position[um]	Height[nm]
0.000	195.882
0.020	196.324
0.039	196.765
0.059	197.206
0.078	197.648
0.098	198.089
0.117	198.530
0.137	198.972
0.157	199.413
0.176	199.737
0.196	200.062
0.215	200.386
0.235	200.710
0.254	201.145
0.274	201.580
0.294	202.014
0.313	202.953
0.333	203.892
0.352	204.830
0.372	205.769
0.391	206.707
0.411	207.646
0.431	208.585
0.450	202.834
0.470	202.638
0.489	202.442
0.509	202.246
0.528	202.050
0.548	201.854
0.568	201.658
0.587	199.435
0.607	197.211
0.626	194.987
0.646	192.763
0.665	190.539
0.685	193.035
0.705	195.532
0.724	198.028
0.744	197.573
0.763	197.119
0.783	196.665
0.802	196.210
0.822	195.756
0.841	195.302
0.861	194.848
0.881	199.341
0.900	200.376
0.920	201.411
0.939	202.445
0.959	203.480
0.978	204.515
0.998	205.550
1.018	206.028
1.037	206.505
1.057	206.982
1.076	207.459
1.096	207.937
1.115	204.553
1.135	201.169
1.155	200.200
1.174	199.230
1.194	198.260
1.213	197.290
1.233	196.320
1.252	195.350
1.272	194.380
1.292	194.718
1.311	195.056
1.331	196.579
1.350	198.101
1.370	199.623
1.389	201.146
1.409	202.668
1.429	204.190
1.448	204.171
1.468	204.151
1.487	204.132
1.507	204.113
1.526	204.093
1.546	199.651
1.566	195.209
1.585	194.912
1.605	194.615
1.624	194.318
1.644	194.021
1.663	193.724
1.683	193.427
1.703	193.130
1.722	195.360
1.742	197.590
1.761	199.820
1.781	200.266
1.800	200.711
1.820	201.157
1.840	201.602
1.859	200.453
1.879	199.304
1.898	198.155
1.918	197.006
1.937	195.857
1.957	194.708
1.977	193.559
1.996	194.372
2.016	195.185
2.035	195.998
2.055	196.811
2.074	197.625
2.094	198.438
2.114	199.251
2.133	200.064
2.153	199.214
2.172	198.365
2.192	197.515
2.211	196.723
2.231	195.932
2.250	195.141
2.270	194.350
2.290	195.126
2.309	195.903
2.329	196.679
2.348	197.456
2.368	198.232
2.387	199.009
2.407	199.785
2.427	200.523
2.446	201.261
2.466	201.998
2.485	202.735
2.505	203.473
2.524	204.211
2.544	204.948
2.564	207.594
2.583	210.240
2.603	212.885
2.622	215.531
2.642	215.812
2.661	216.092
2.681	216.373
2.701	216.653
2.720	218.899
2.740	221.145
2.759	223.392
2.779	225.637
2.798	227.884
2.818	230.129
2.838	232.376
2.857	233.768
2.877	235.159
2.896	236.551
2.916	237.943
2.935	239.335
2.955	240.727
2.975	242.119
2.994	242.462
3.014	242.805
3.033	243.149
3.053	243.492
3.072	248.363
3.092	253.234
3.112	258.105
3.131	259.366
3.151	260.627
3.170	261.888
3.190	263.149
3.209	264.410
3.229	265.671
3.249	266.932
3.268	264.749
3.288	264.987
3.307	265.225
3.327	265.464
3.346	265.702
3.366	265.940
3.386	266.179
3.405	266.417
3.425	266.838
3.444	267.259
3.464	267.680
3.483	268.101
3.503	268.521
3.523	263.191
3.542	257.860
3.562	257.235
3.581	256.609
3.601	255.983
3.620	255.357
3.640	254.732
3.659	254.106
3.679	253.480
3.699	250.375
3.718	247.269
3.738	245.771
3.757	244.273
3.777	242.775
3.796	241.277
3.816	239.779
3.836	238.926
3.855	238.074
3.875	237.221
3.894	236.369
3.914	235.517
3.933	234.665
3.953	221.227
3.973	218.767
3.992	216.308
4.012	213.849
4.031	211.389
4.051	208.930
4.070	206.470
4.090	204.011
4.110	201.551
4.129	199.883
4.149	198.215
4.168	194.363
4.188	190.511
4.207	186.659
4.227	182.806
4.247	178.954
4.266	178.154
4.286	177.355
4.305	176.555
4.325	175.755
4.344	174.955
4.364	174.155
4.384	154.907
4.403	151.369
4.423	147.832
4.442	144.295
4.462	140.758
4.481	137.221
4.501	133.684
4.521	130.147
4.540	126.450
4.560	122.752
4.579	119.055
4.599	111.012
4.618	102.969
4.638	94.926
4.658	86.884
4.677	85.170
4.697	83.456
4.716	81.742
4.736	80.028
4.755	78.314
4.775	76.600
4.795	74.886
4.814	35.997
4.834	30.855
4.853	25.712
4.873	20.570
4.892	15.427
4.912	10.285
4.932	5.142
4.951	0.000
4.971	7.815
4.990	15.630
5.010	23.445
5.029	30.973
5.049	38.501
5.068	46.029
5.088	53.556
5.108	58.043
5.127	62.531
5.147	67.018
5.166	71.505
5.186	75.992
5.205	80.479
5.225	84.966
5.245	104.818
5.264	108.914
5.284	113.009
5.303	117.104
5.323	121.199
5.342	125.294
5.362	129.390
5.382	133.485
5.401	138.469
5.421	143.452
5.440	148.436
5.460	153.420
5.479	160.162
